impl_key,effect_slug,source_path,clause,role,aspect,resource,observed_text,implied_text,inference_kind,description,operator,value_si,si_unit,value_text,confidence,notes,updated
elasticity:hardware_scale:ion-grid,elasticity,library/elasticity.md,hardware_scale,requirement,scale,node_count,"A mechanically coupled grid (or, for K only, a fluid density field). The linear modulus is already a bulk average of the same springs whose long-wave slope is v_s. There is no single nanometre cliff for E itself. The yield envelope requires a mesoscale population of dislocations, grain boundaries, or cracks.","Hookean E is a grid average. Yield is a different, defect-structure buffer on the same crystal.",envelope,Small-strain stiffness lives on the ion grid; plasticity lives on a mesoscale defect population.,,,,coupled grid for E; mesoscale defects for yield,medium,Elastomers are entropy-elastic and not this ion-grid machine.,2026-08-17
elasticity:hardware_scale:small-strain-window,elasticity,library/elasticity.md,hardware_scale,requirement,threshold,dimensionless,Hooke’s law holds only at small strain. In ordinary metals the reversible window is a strain of order 10⁻³ or less.,The linear restoring output is specified only inside that small-strain window.,envelope,Ordinary metals stay Hookean only to strains of order 10⁻³ or less.,max,0.001,1,strain ≲ 10⁻³ (ordinary metals),high,"Polymers and elastomers are a different, large-strain machine.",2026-08-17
electron-heat-capacity:clock_latency:e-ph-window,electron-heat-capacity,library/electron-heat-capacity.md,clock_latency,requirement,latency,time,No separate collective clock beyond the electronic and electron–phonon equilibration times of the host (typically picoseconds in ordinary metals). Calorimetry sits far above that window.,"The relevant energy scale is kT against E_F, or against a gap Δ when one is present.",envelope,Calorimetry reads an already-finished electronic average.,,,,e–ph ∼ ps (ordinary metals),medium,"Picosecond class is typical, not a universal clock. k is defined.",2026-08-17
electron-heat-capacity:consistency_gap:underived-gamma,electron-heat-capacity,library/electron-heat-capacity.md,consistency_gap,gap,capacity,node_count,γ = (π^2/3) D(E_F) k^2 (or ∝ Nk/T_F in free-electron form). The mapping does not compute γ from a node rule.,"QSA takes the measured γ (or D(E_F), or T_F) as the material specification.",open,γ is located as a material coefficient and is not derived from node count.,,,,"γ taken, not derived",medium,File-level mapping is Medium. k is defined.,2026-08-17
electron-heat-capacity:emergent_output:gamma-t,electron-heat-capacity,library/electron-heat-capacity.md,emergent_output,output,output,other,Low-temperature heat capacity of a normal metal is C = γT + A T^3. The linear piece is electronic. γ sits in a class of order 1 mJ mol^{-1} K^{-2} for simple metals (Cu ≈ 0.70; Al ≈ 1.35).,"A heat capacity linear in T, with a material coefficient γ, is the averaged energy uptake of the Fermi-surface slice.",relabel,"The stable output is C_e = γT. γ is taken from measurement, not derived here.",,,,C_e = γT,high,Heavy-fermion enhancements move γ by orders of magnitude without changing the form. Phonon T^3 is owned by debye-cutoff. Johnson–Nyquist shares a thermal electronic bath but not this Fermi-surface buffer.,2026-08-17
electron-heat-capacity:energy_barrier:open-fermi-surface,electron-heat-capacity,library/electron-heat-capacity.md,energy_barrier,requirement,threshold,energy,"The operating metallic envelope has no gap at E_F. Opening a superconducting gap, or sitting in a semiconductor/insulator gap, removes the contributing slice.",The operating condition is an ungapped Fermi surface. The gaps that kill γT are owned by other families; they appear here only as the threshold that removes the average.,envelope,"γT requires an open Fermi surface, not a latching barrier.",,,,no gap at E_F,medium,Cross-cite superconductivity and semiconductor-gap-absorption.,2026-08-17
electron-heat-capacity:failure_mode:no-fermi-surface,electron-heat-capacity,library/electron-heat-capacity.md,failure_mode,failure,threshold,energy,A filled-gap insulator or undoped semiconductor has no Fermi surface and no metallic γT at all.,Without a contributing slice at E_F there is no electronic linear term at any N or T.,envelope,"No Fermi surface, no γT. That is a missing population, not a cooled metal.",,,,no Fermi surface → no γT,high,Cross-cite semiconductor-gap-absorption.,2026-08-17
electron-heat-capacity:failure_mode:superconducting-gap,electron-heat-capacity,library/electron-heat-capacity.md,failure_mode,failure,threshold,energy,"Below a superconducting gap the linear term is killed and C_e falls much faster than linear (BCS envelope ∼exp(−Δ/kT)), plus a jump in C at T_c.","The contributing Fermi-surface slice has been removed, not merely cooled. This entry owns that the gap kills γT, not the gap itself.",envelope,A superconducting gap replaces the linear electronic heat capacity with an exponentially small remnant.,,,,gap Δ kills γT (T < T_c),high,"Cross-cite superconductivity. Incomplete gaps (nodes, pair-breaking) can leave a residual linear term; that detail is owned by the superconductivity entry.",2026-08-17
electron-heat-capacity:failure_mode:t-to-zero,electron-heat-capacity,library/electron-heat-capacity.md,failure_mode,failure,threshold,temperature,"As T→0 in the normal state, γT falls linearly through any fixed instrument floor. There is no sharp electronic cliff.","The average is still defined; the output is no longer a usable reading. The slice has shrunk, not gapped.",envelope,Cooling a normal metal sends γT into the calorimeter noise without a gap-closure event.,,,,T → 0 ⇒ γT into noise,high,"Lattice T^3 burying γT at higher T is a contrast-of-scale measurement problem, not a collapse of the electronic average.",2026-08-17
electron-heat-capacity:hardware_scale:fermi-slice,electron-heat-capacity,library/electron-heat-capacity.md,hardware_scale,requirement,capacity,node_count,"Only a slice of width ∼kT about E_F can take up energy. The participating fraction at laboratory T is T/T_F ≪ 1, with T_F ∼ 10^4–10^5 K in ordinary metals (Cu T_F ≈ 8.2e4 K). There is no universal N at which electronic heat capacity begins.","The hardware is the T-dependent Fermi-surface population of order (T/T_F)N, not a fixed node count. A metal with no Fermi surface has no such population at any N.",envelope,"Electronic heat capacity uses a shrinking statistical slice, not a single buffer size.",,,,∼(T/T_F)N; T_F ∼ 10^4–10^5 K,medium,T_F values are material parameters taken from measurement. Do not treat them as a derived node-rule cliff.,2026-08-17
exchange-bias:clock_latency:field-cool,exchange-bias,library/exchange-bias.md,clock_latency,requirement,latency,time,Setting the pin is a thermal write: the field-cool must pass through TB on a laboratory cooling clock. Subsequent FM writes are ordinary hysteresis clocks on an already-offset loop.,The pin is set slowly by cooling through the AFM blocking contour. AFM exchange rates underneath are fast compared with either the cool or the FM sweep.,open,Pin-setting latency is a laboratory field-cool through TB; no numerical cool time is specified.,,,,field-cool through T_B,medium,Training (first loops after field-cooling differ) is recorded as pin relaxation without a node-level clock.,2026-08-17
exchange-bias:consistency_gap:interface-jex,exchange-bias,library/exchange-bias.md,consistency_gap,gap,barrier,energy,"Fitted Jex is orders of magnitude below bulk exchange; roughness, uncompensated spins, and grain-level AFM domains are the named ingredients. TB often lies well below bulk TN.","QSA does not reduce the interface to a buffer/barrier number, and does not give a portable KV line for TB/TN.",open,Hex and TB/TN remain interface- and grain-level data without a closed specification.,,,,J_ex ≪ bulk exchange; T_B/T_N underived,medium,File-level mapping is Medium for this reason. Training is a pin relaxation without a node-level clock.,2026-08-17
exchange-bias:emergent_output:loop-shift,exchange-bias,library/exchange-bias.md,emergent_output,output,output,b_field,"The hysteresis loop is shifted along the field axis rather than centered at H = 0. The shift is Hex, opposite the cooling field in the usual convention.",Stable output is an offset −Hex of the FM loop and a remanent FM state whose zero-field point is no longer symmetric.,relabel,"The machine emits a unidirectional loop offset, not a centered remanence.",,,,loop centered at −H_ex,high,An increase of FM coercivity often accompanies the shift; the two numbers are not the same artifact.,2026-08-17
exchange-bias:emergent_output:zero-hold-power,exchange-bias,library/exchange-bias.md,emergent_output,output,power,energy,Holding the shifted remanent point costs zero continuous power. Energy is spent to field-cool (set the pin) and to traverse the shifted loop (write the FM).,"The offset remanent state is a latch: set once, held at zero watts below TB.",relabel,Holding the shifted remanence costs zero watts.,eq,0.0,W,0 W hold,high,,2026-08-17
exchange-bias:energy_barrier:unidirectional-pin,exchange-bias,library/exchange-bias.md,energy_barrier,requirement,barrier,b_field,"The FM loop is centered at −Hex. Switching thresholds sit near −Hex ± Hc, not at ±Hc. Hex is the field equivalent of the pin; Hc is still the half-width of the FM cycle.",The AFM cancelled latch leaves a unidirectional barrier on the FM at the interface. That offset holds at zero continuous power. The FM still has its own bidirectional anisotropy barrier.,envelope,"Exchange bias is a second, unidirectional latch stacked on the FM cycle, not a replacement for Hc.",,,,H_ex (loop offset); H_c still the half-width,high,"Meiklejohn–Bean Hex ≈ Jex/(μ0 Ms tFM); Jex is an effective interface energy density, not bulk AFM exchange.",2026-08-17
exchange-bias:failure_mode:blocking,exchange-bias,library/exchange-bias.md,failure_mode,failure,threshold,temperature,Hex → 0 as T → TB−. TB ≤ TN of the AFM. TB tracks AFM thickness and grain size and can lie well below the bulk Néel point.,Thermal unblocking of the pin removes the shift and leaves a centered FM loop. The FM may still be ordered (its Tc is a different cliff).,envelope,"The pin dies at TB, which is not a second name for TN.",min,,K,T > T_B ≤ T_N (pin),high,No numerical TB is given for a named stack.,2026-08-17
exchange-bias:failure_mode:fm-dilution,exchange-bias,library/exchange-bias.md,failure_mode,failure,scale,length,"Hex falls as the FM layer is made thicker, empirically close to 1/tFM. Too thin an AFM layer also kills the shift (the pin itself is under-provisioned).",FM-side buffer dilution and AFM-side under-provisioning are the two spatial failures of the nested latch.,envelope,Too thick an FM film dilutes Hex; too thin an AFM film unblocks the pin.,,,,H_ex ~ 1/t_FM; AFM too thin → no pin,high,Chemical / mechanical destruction of the interface is a third buffer failure.,2026-08-17
exchange-bias:hardware_scale:nested-latches,exchange-bias,library/exchange-bias.md,hardware_scale,requirement,scale,length,"Hex falls as the FM layer is made thicker, empirically close to 1/tFM over a working window. Too thin an AFM layer also kills the shift. There is no exchange-bias loop in a separated AFM and FM of the same materials.","Hardware is an AFM volume that stays blocked, an FM film thin enough that the interface pin is not diluted below a usable Hex, and a shared interface.",envelope,Two nested latches plus an interface; missing any of the three removes the shift.,,,,AFM pin + FM film + interface; Hex ~ 1/t_FM,high,No numerical working thickness is given in the file.,2026-08-17
faraday-rotation:clock_latency:optical-carrier,faraday-rotation,library/faraday-rotation.md,clock_latency,requirement,speed,frequency,"Ordinary laboratory V is quoted at 632–633 nm and 1064 nm. The circular-index split tracks a cyclotron / Zeeman-scale difference between the two circular indices. Cold-plasma Faraday (ω≫ωc, ωp) goes as 1/ω².",The carrier is optical or radio. Faraday is the off-resonant accumulator of the same polarization response as refraction-dielectric; near a strong electronic or cyclotron resonance the Verdet law is left.,envelope,"Clock is the carrier; the load-bearing resource is the VBL product, not a cycle-time cliff.",,,,optical / radio carrier; Verdet off-resonant,high,Cross-cite cyclotron-resonance: resonant absorption at ω=ωc. Do not file the two as one artifact.,2026-08-17
faraday-rotation:consistency_gap:underived-verdet,faraday-rotation,library/faraday-rotation.md,consistency_gap,gap,output,other,QSA takes V (or the 0.81 RM prefactor) as measured. It does not derive TGG’s 10² rad T^{-1} m^{-1} from node rules.,"The magneto-optical coupling is located as a measured path coefficient, not derived.",open,"V is taken. Combined with a detection-budget collapse (not a sharp cliff), that keeps the mapping Medium.",,,,"V taken, not derived",medium,"Paramagnetic V(T) touches curie-paramagnetism; the Faraday output is a path integral, not a susceptibility reading.",2026-08-17
faraday-rotation:emergent_output:verdet,faraday-rotation,library/faraday-rotation.md,emergent_output,output,output,other,"TGG: |V| of order 10² rad T^{-1} m^{-1} in the red (near −130 rad T^{-1} m^{-1} at 632–633 nm), falling to about 40 rad T^{-1} m^{-1} at 1064 nm. Diamagnetic fused silica / fibre: V≈3–4 rad T^{-1} m^{-1} near 633 nm.","A rotation angle linear in B and L, non-reciprocal, with a material- and frequency-specific V (or an RM in the plasma case).",relabel,"The synchronized magneto-optical population emits θ=VBL, not a latched moment.",,,,TGG ~10² rad T^{-1} m^{-1} (red); silica 3–4,high,"Per-tesla Verdet; value_si left null. Interstellar form θ=RM λ² with RM=0.81∫ n_e B_∥ dl sits next to plasma-frequency-cutoff in the same ωp, ωc language, far below cutoff.",2026-08-17
faraday-rotation:energy_barrier:no-latch,faraday-rotation,library/faraday-rotation.md,energy_barrier,requirement,threshold,b_field,θ = VBL in the linear regime. θ∝B through zero. Non-reciprocity: two passes through the same B double θ.,"No latch. B is a load-bearing resource, not a gate with a finite onset. Tag field-threshold marks that resource, not a step-function threshold.",relabel,"Faraday has a field resource, not an energy barrier that stores a written polarization.",,,,θ ∝ B through zero; no latch,high,"Tesla-scale B is the TGG laboratory class, not an onset.",2026-08-17
faraday-rotation:failure_mode:b-to-zero,faraday-rotation,library/faraday-rotation.md,failure_mode,failure,threshold,b_field,With B→0 the rotation is gone.,Field under-provisioning sends θ→0. There is no finite B cliff.,envelope,"B→0 is a product-budget fade, not a hard machine death.",,0.0,T,B → 0,high,,2026-08-17
faraday-rotation:failure_mode:vbl-budget,faraday-rotation,library/faraday-rotation.md,failure_mode,failure,scale,length,There is no universal L or B cliff. The rotation falls below a given polarimetric floor when the product VBL does. Absorption sets an independent upper bound on L.,"Path below the VBL detection budget → no measurable rotation. A slightly short path is a smaller angle, not a disappeared machine.",envelope,"Spatial failure is a detection budget, which is why the mapping is not High.",,,,VBL below the polarimetric floor,high,"Messy Verdet·B·L product, no cliff → value_si null. Opacity (path absorbing before θ is usable) is a second path failure.",2026-08-17
faraday-rotation:failure_mode:verdet-gone,faraday-rotation,library/faraday-rotation.md,failure_mode,failure,output,other,"V→0 in the wrong spectral window; or, for paramagnetic media, loss of the magnetic population with T.",Material / thermal under-provisioning of the magneto-optical population sends the product budget to zero at finite B and L.,envelope,A zero-V medium is a Faraday path with no accumulator.,,,,"V → 0 (wrong window, or paramagnetic T)",medium,Cross-cite curie-paramagnetism for the unlocked-moment ensemble that feeds paramagnetic V(T).,2026-08-17
faraday-rotation:hardware_scale:path-l,faraday-rotation,library/faraday-rotation.md,hardware_scale,requirement,scale,length,TGG at tesla-scale B accumulates a detectable θ in centimetres; silica needs a much longer fibre; the interstellar case uses parsecs of dilute plasma. There is no analogue of the 10–20 nm mirror threshold.,"The buffer is the path L through a magneto-optically active population (bound charges with a magnetic splitting, or a magnetized plasma), not a film thickness.",envelope,"Faraday hardware is a path budget, not a connected-metal floor.",approx,0.01,m,"centimetres (TGG, tesla-scale B)",medium,"value_si is the TGG centimetre class, not a cliff. Silica fibre is much longer; interstellar RM uses parsecs.",2026-08-17
ferroelectric-remanence:clock_latency:ionic-thz,ferroelectric-remanence,library/ferroelectric-remanence.md,clock_latency,requirement,speed,frequency,The polar displacement is ionic and sits on the lattice-mode clock (optical-phonon / THz class). Macroscopic switching of a ceramic or a multidomain crystal is set by nucleation and wall motion under applied E.,The latch carrier is the ionic/phonon clock; ceramic write latency is a slower wall-motion clock.,envelope,Polar switching does not finish on the phonon period in a real ceramic; the THz class is the local displacement clock.,,,,optical-phonon / THz class,medium,No numerical phonon frequency is given in the file.,2026-08-17
ferroelectric-remanence:consistency_gap:ec-depolarization,ferroelectric-remanence,library/ferroelectric-remanence.md,consistency_gap,gap,threshold,e_field,"Ec is microstructure- and thickness-dependent. The superparaelectric size line is not a portable KV/25kT constant: depolarization, screening, and electrodes are extra constraints.","QSA does not derive Ec from the Landau well, nor a laboratory-stability volume from node rules.",open,Write threshold and grain/depolarization buffer remain mesoscale data without a closed QSA specification.,,,,Ec mesoscale; no portable ferroelectric KV,medium,"File-level mapping is Medium for this reason. kV cm^{-1} class is taken, not derived.",2026-08-17
ferroelectric-remanence:emergent_output:remanent-p,ferroelectric-remanence,library/ferroelectric-remanence.md,emergent_output,output,output,charge,Room-temperature spontaneous polarization of single-crystal BaTiO3 along c is Ps ≈ 0.26 C/m². Ceramic remanence is lower; PZT-family Pr remains in the 10^{-1} C/m² class.,Stable output is remanent polarization and the associated bound charge / field at E = 0.,relabel,"The polar latch emits a material-typical remanent P, not a linear dielectric that returns to P = 0.",approx,0.26,C/m^2,Ps ≈ 0.26 C m^{-2} (BaTiO3); Pr ~ 10^{-1} C m^{-2} class,high,,2026-08-17
ferroelectric-remanence:emergent_output:zero-hold-power,ferroelectric-remanence,library/ferroelectric-remanence.md,emergent_output,output,power,energy,The sample remains electrically poled at zero continuous field and zero continuous power. Holding remanent P at E = 0 costs zero continuous power.,"Stable remanent polarization and bound charge / field at zero continuous power, inside the Tc / grain / electrode / lattice envelope.",relabel,Holding remanent polarity costs zero watts. Energy is the P–E loop area only.,eq,0.0,W,0 W hold,high,,2026-08-17
ferroelectric-remanence:energy_barrier:polar-well,ferroelectric-remanence,library/ferroelectric-remanence.md,energy_barrier,requirement,barrier,energy,"A polar double well, locked to a non-centrosymmetric lattice, holds ±Pr at E = 0. Holding remanent P at E = 0 costs zero continuous power. Energy per cycle is ∮E·dP.","The latch is the polar well. Energy is spent only on transitions. The write threshold is Ec, not the Landau barrier of a perfect crystal.",envelope,Remanent polarity is protected by a lattice-locked double well at zero hold-power; write cost is the P–E loop area.,,,,double well below Tc; write at Ec,high,"Ec of bulk BaTiO3 and PZT-family ceramics is kV cm^{-1} class; the class, not a grade-specific number, is the boundary.",2026-08-17
ferroelectric-remanence:failure_mode:curie,ferroelectric-remanence,library/ferroelectric-remanence.md,failure_mode,failure,threshold,temperature,BaTiO3 Tc ≈ 120 °C (393 K). Above Tc the room-temperature tetragonal polar phase is gone and remanent P collapses. End-member PbTiO3 Tc ≈ 490 °C.,"kT closing the polar well destroys the latch. Further BaTiO3 polar-phase changes (~5 °C, −90 °C) are structure changes of an already-latched state.",relabel,Thermal collapse of the polar latch at the ferroelectric Curie point.,min,393.0,K,T > Tc ≈ 393 K (BaTiO3),high,PZT family is composition-dependent; no single PZT Tc is claimed. value_si is the BaTiO3 handbook cliff.,2026-08-17
ferroelectric-remanence:failure_mode:superparaelectric,ferroelectric-remanence,library/ferroelectric-remanence.md,failure_mode,failure,scale,volume,"Small grains and ultrathin films lose stable remanence. Depolarization field of a uniformly polarized slab is of order P/ε, reduced by electrodes and free charge.","Spatial / electrostatic under-provisioning makes P volatile. This is the electrical analog of superparamagnetism, not a portable KV line.",envelope,Too-small or uncompensated polar volumes erase remanence without reaching Tc.,,,,superparaelectric / depolarization collapse,medium,"Dielectric breakdown at larger E is hardware failure of the insulator, not a clean rewrite.",2026-08-17
ferroelectric-remanence:hardware_scale:polar-volume,ferroelectric-remanence,library/ferroelectric-remanence.md,hardware_scale,requirement,scale,volume,Small grains and ultrathin films lose stable remanence (superparaelectric / depolarization collapse). A single laboratory-stability volume is not claimed; depolarization fields and electrodes enter.,Hardware is a polar lattice cell plus a correlated volume large enough that the polar well survives kT and the depolarization field. Ceramic remanence is synchronized output of a poled grain population.,open,One unit-cell dipole is not a macroscopic remanent capacitor; the grain/thickness buffer is real as a class and has no portable number here.,,,,process-dependent grain / thickness buffer,medium,Do not import KV ≳ 25 kT as a ferroelectric constant.,2026-08-17
ferromagnetic-hysteresis:clock_latency:larmor,ferromagnetic-hysteresis,library/ferromagnetic-hysteresis.md,clock_latency,requirement,speed,frequency,"Larmor / FMR scale: γ/2π ≈ 28.025 GHz/T. Practical loop traversal is set by the field sweep and by domain-wall motion (and, in metals, eddy currents), not by that carrier.","The latch has a 28 GHz/T precession clock; write/erase latency of a real loop is a slower, microstructure-limited wall-motion clock.",relabel,Holding remanence does not run the 28 GHz/T carrier as a power draw; writing the loop does not finish on that carrier either.,eq,28025000000.0,Hz/T,28.025 GHz/T,high,si_unit is Hz per tesla; value_si is the 1 T frequency.,2026-08-17
ferromagnetic-hysteresis:consistency_gap:mesoscale-hc,ferromagnetic-hysteresis,library/ferromagnetic-hysteresis.md,consistency_gap,gap,threshold,b_field,"Sintered NdFeB coercivity is typically tesla-class (often ~1 T in μ0 Hc), much less than μ0 Ha ≈ 7–8 T. Stoner–Wohlfarth coherent rotation predicts a switching field of order Ha.","QSA does not yet have a buffer/barrier specification that produces Hc from nucleation, grain boundaries, dipolar coupling, and wall pinning.",open,"Measured Hc is a mesoscale write threshold, not Ha. Soft-limit, Tc, and zero-hold-power clauses do not depend on closing it.",,,,Hc ≪ Ha; mesoscale,medium,"File-level mapping remains High. ~1 T is a class, not a grade-specific number.",2026-08-17
ferromagnetic-hysteresis:emergent_output:remanent-branch,ferromagnetic-hysteresis,library/ferromagnetic-hysteresis.md,emergent_output,output,output,other,"After a large field is removed, a remanent magnetization remains. Energy per unit volume per cycle equals the loop area ∮H·dB.",Stable output is remanence at H = 0 plus a finite write/erase energy equal to the loop area.,envelope,"The loop is the latch cycle: remanent state at zero field, dissipative cost only when the state is written.",,,,Mr at H = 0; w = ∮H·dB per cycle,high,,2026-08-17
ferromagnetic-hysteresis:emergent_output:zero-hold-power,ferromagnetic-hysteresis,library/ferromagnetic-hysteresis.md,emergent_output,output,power,energy,A sample sitting at rest on a remanent branch produces no continuous hysteresis heat. Holding a static remanent point costs zero continuous power.,Zero hold power plus finite loop-area write cost is the latch accounting.,relabel,Holding either remanent branch costs zero watts. Energy is the write/erase loop area only.,eq,0.0,W,0 W hold,high,,2026-08-17
ferromagnetic-hysteresis:energy_barrier:anisotropy,ferromagnetic-hysteresis,library/ferromagnetic-hysteresis.md,energy_barrier,requirement,barrier,energy,Uniaxial anisotropy density K1 ≈ 4.5 MJ/m³ for Nd2Fe14B; μ0 Ha ≈ 7–8 T. Energy per unit volume per cycle equals the loop area ∮H·dB. Holding a static remanent point costs zero continuous power.,The barrier that protects remanence is the same anisotropy barrier as the permanent-magnet latch. Energy is spent only to write and erase.,relabel,Hysteresis is the write/erase cycle of the anisotropy latch: zero hold-power plus finite loop-area cost.,approx,4500000.0,J/m^3,K1 ≈ 4.5 MJ/m³; w = ∮H·dB,high,"The operating write field is Hc, much smaller than Ha in almost all bulk magnets. That mesoscale step is the §4.6 gap.",2026-08-17
ferromagnetic-hysteresis:failure_mode:curie,ferromagnetic-hysteresis,library/ferromagnetic-hysteresis.md,failure_mode,failure,threshold,temperature,Iron Tc ≈ 1043 K; Nd2Fe14B Tc ≈ 585 K. Above Tc the ordered moment is gone and the loop disappears.,Thermal destruction of the ordered moment removes the loop. This is not the soft-limit or the volume cliff.,relabel,"No ordered moment above Tc, so no remanent branch and no hysteresis loop.",min,585.0,K,T > Tc (585 K Nd2Fe14B; 1043 K Fe),high,"value_si is the NdFeB handbook cliff used on the parent latch. KV ≲ 25 kT is the volume twin, filed as superparamagnetism.",2026-08-17
ferromagnetic-hysteresis:failure_mode:soft-limit,ferromagnetic-hysteresis,library/ferromagnetic-hysteresis.md,failure_mode,failure,threshold,other,Soft iron and silicon steel: coercivity typically < 10^2–10^3 A/m. Remanence exists but is not stable against ordinary self-demagnetizing fields.,"Barrier / pinning too small → Hc → 0, loop area → 0 → remanence does not survive removal of H. The metal may still be ferromagnetic.",envelope,"The soft-limit collapse is loss of the write barrier, not loss of ferromagnetic order.",max,,,Hc < 10^2–10^3 A m^{-1} (soft iron/steel),high,"Iron Tc ≈ 1043 K: still ferromagnetic, just not latched. Contrast sintered NdFeB tesla-class μ0 Hc ≪ Ha ~ 7–8 T.",2026-08-17
ferromagnetic-hysteresis:hardware_scale:remanent-grain,ferromagnetic-hysteresis,library/ferromagnetic-hysteresis.md,hardware_scale,requirement,scale,volume,"A remanent branch requires a grain with KV above the Néel–Arrhenius laboratory line, embedded in a lattice that supplies K. Soft matrices supply order (high Tc) without a usable write barrier.","Minimum hardware is a thermally stable anisotropy cell. The loop as a macroscopic object further requires a readable population — grain ensemble, domain pattern, or bulk body.",envelope,A single spin has no useful remanence against kT; the loop needs a latched grain plus a readable aligned population.,,,,grain with KV above the thermal line; no single loop N,high,"Volume cliff owned in detail by superparamagnetism. Soft/hard split is the barrier, not Tc.",2026-08-17
flux-quantization:clock_latency:no-vf-lock,flux-quantization,library/flux-quantization.md,clock_latency,requirement,latency,other,There is no voltage-frequency lock on a fully superconducting loop at rest (V=0 around the path). A SQUID reads the same integer against the Josephson clock of the interrupting junctions.,"The relevant latency is the screening response of the parent condensate (London / plasma scales on meissner), not a Josephson oscillation of the loop itself.",open,A quiet superconducting loop holds n at V=0; it does not run the 483.6 MHz/μV clock until a weak link is inserted.,eq,0.0,V,V = 0 around the path,high,Cross-cite josephson-effect for the SQUID readout clock.,2026-08-17
flux-quantization:consistency_gap:2e-increment,flux-quantization,library/flux-quantization.md,consistency_gap,gap,output,charge,The single-valuedness relation uses q=2e as the measured charge increment. Φ0 = h/2e is a defined SI combination taken from that increment.,"The 2e in h/2e is taken from the measured quantum, not derived from node rules. No pairing story is added to close it.",open,Same open charge increment as on josephson-effect; the integer condition itself is not in doubt.,,,,h/2e taken,medium,File-level mapping remains High. λ and ξ that set how small a hole or vortex core can be are owned by meissner and type-ii-critical-field.,2026-08-17
flux-quantization:emergent_output:phi0,flux-quantization,library/flux-quantization.md,emergent_output,output,output,other,Φ0 = h/2e = 2.0678e-15 Wb. A closed superconducting ring holds a trapped flux that is an integer multiple of this quantum. A SQUID is periodic in applied flux with the same Φ0.,"A trapped fluxoid equal to nΦ0, held at zero continuous power for as long as the loop, the gap, and the phase-slip barrier remain inside the envelope.",relabel,The machine's stable product is the integer fluxoid n h/2e.,eq,2.0678e-15,Wb,Φ0=h/2e,high,Combined with the AC Josephson lock this is the same constant in a different geometry. Chargeless analog is h/m4 on superfluid-helium-4.,2026-08-17
flux-quantization:energy_barrier:phase-slip,flux-quantization,library/flux-quantization.md,energy_barrier,requirement,barrier,energy,"Phase-slip at a weak spot on an otherwise superconducting loop lets the fluxoid change by Φ0. That is a discrete write of the stored integer, not a shift of Φ0 itself. The trapped value does not decay on laboratory timescales while the ring remains superconducting.","Changing the stored integer by one requires a phase slip: a local collapse of the gap on the loop, or a vortex crossing the wall. That barrier keeps n fixed and vanishes if any section is driven normal, or if T → Tc.",envelope,The stored integer is a latch: a phase-slip barrier protects n at zero continuous power.,,,,phase-slip / vortex-crossing barrier,high,"Contrast with bose-einstein-condensate, which is not held at zero continuous power.",2026-08-17
flux-quantization:failure_mode:above-tc,flux-quantization,library/flux-quantization.md,failure_mode,failure,threshold,temperature,Warming the loop through Tc releases the constraint and the integer condition disappears.,Thermal collapse of the parent condensate erases the fluxoid latch.,relabel,The trapped integer dies with the superconducting path at Tc.,min,,,T > Tc,high,Material Tc values live on superconductivity. A weak spot or a current near the loop Ic lets n step without shifting Φ0.,2026-08-17
flux-quantization:failure_mode:open-loop,flux-quantization,library/flux-quantization.md,failure_mode,failure,scale,other,"Opening the ring, driving a section normal, or a lead / normal gap on the circumference releases the constraint and the integer condition disappears.","Topology failure: if the path is not closed, the fluxoid is not conserved and there is no trapped integer.",envelope,A broken loop cannot hold nΦ0.,,,,break / normal gap / open path,high,Electrode-scale H > Hc or Hc2 destroys the path itself.,2026-08-17
flux-quantization:hardware_scale:closed-loop,flux-quantization,library/flux-quantization.md,hardware_scale,requirement,scale,other,"The loop must be a closed superconducting path. A break, a normal section, or T > Tc anywhere on the circumference removes quantization of the trapped flux.",A closed superconducting path is the hardware. The hole (or vortex core) is the region the condensate does not fill; the load-bearing buffer is the surrounding closed path.,envelope,Flux quantization requires a closed condensate path; an open ring is not this machine.,,,,closed superconducting path,high,The path must sit inside the superconductivity envelope. A vortex as the hole is owned by type-ii-critical-field.,2026-08-17
flux-quantization:hardware_scale:thick-wall,flux-quantization,library/flux-quantization.md,hardware_scale,requirement,scale,length,In a thick ring (wall thickness large compared with the London depth λ) the trapped flux itself is nΦ0. In a thin-walled cylinder the conserved quantity is the fluxoid; Little–Parks still has period Φ0.,"For the trapped flux (not merely the fluxoid) to sit at nΦ0, the wall must be thick enough that screening currents live in a surface layer of depth λ and the interior supercurrent vanishes.",envelope,Wall thickness versus λ selects flux integers versus fluxoid integers; both are the same constraint in two buffer regimes.,min,,,wall ≳ λ for Φ = nΦ0,high,"λ is owned by meissner and is taken here as the wall buffer, not re-derived. Analogous to electromagnetic penetration versus morphological continuity on reflection.",2026-08-17
ideal-gas-pressure:clock_latency:collision-window,ideal-gas-pressure,library/ideal-gas-pressure.md,clock_latency,requirement,latency,time,Collision time τ ∼ λ/v̄ is of order 10^{-10} s in standard-density air and much longer once the gas is rarefied. Ordinary mechanical gauges sit far above this clock.,"A gauge that resolves individual hits, or a drive faster than local equilibration, sees a shot sequence rather than P.",envelope,Wall pressure is an average over the impact / collision window.,,,,τ ∼ 10^{-10} s (standard air); longer when rarefied,medium,"10^{-10} s is a standard-air order of magnitude, not a universal clock.",2026-08-17
